"filename", "language", "Ini", "Makefile", "Assembler file", "C", "Properties", "C++", "comment", "blank", "total"
"/home/ysy/code/Os_wrtie/bochs/share/doc/bochs/slirp.conf", "Properties", 0, 0, 0, 0, 0, 0, 49, 8, 57
"/home/ysy/code/Os_wrtie/bochs/share/doc/bochs/vnet.conf", "Properties", 0, 0, 0, 0, 0, 0, 21, 4, 25
"/home/ysy/code/Os_wrtie/src/Makefile", "Makefile", 0, 91, 0, 0, 0, 0, 3, 17, 111
"/home/ysy/code/Os_wrtie/src/boot/boot.asm", "Assembler file", 0, 0, 102, 0, 0, 0, 0, 26, 128
"/home/ysy/code/Os_wrtie/src/boot/loader.asm", "Assembler file", 0, 0, 154, 0, 0, 0, 0, 44, 198
"/home/ysy/code/Os_wrtie/src/bx_enh_dbg.ini", "Ini", 26, 0, 0, 0, 0, 0, 0, 1, 27
"/home/ysy/code/Os_wrtie/src/include/onix/assert.h", "C", 0, 0, 0, 10, 0, 0, 0, 4, 14
"/home/ysy/code/Os_wrtie/src/include/onix/bitmap.h", "C++", 0, 0, 0, 0, 0, 15, 0, 9, 24
"/home/ysy/code/Os_wrtie/src/include/onix/console.h", "C", 0, 0, 0, 7, 0, 0, 0, 4, 11
"/home/ysy/code/Os_wrtie/src/include/onix/debug.h", "C", 0, 0, 0, 6, 0, 0, 1, 6, 13
"/home/ysy/code/Os_wrtie/src/include/onix/global.h", "C", 0, 0, 0, 36, 0, 0, 5, 7, 48
"/home/ysy/code/Os_wrtie/src/include/onix/interrupt.h", "C", 0, 0, 0, 40, 0, 0, 25, 9, 74
"/home/ysy/code/Os_wrtie/src/include/onix/io.h", "C++", 0, 0, 0, 0, 0, 8, 0, 4, 12
"/home/ysy/code/Os_wrtie/src/include/onix/list.h", "C++", 0, 0, 0, 0, 0, 30, 14, 17, 61
"/home/ysy/code/Os_wrtie/src/include/onix/memory.h", "C", 0, 0, 0, 25, 0, 0, 0, 4, 29
"/home/ysy/code/Os_wrtie/src/include/onix/onix.h", "C", 0, 0, 0, 5, 0, 0, 0, 3, 8
"/home/ysy/code/Os_wrtie/src/include/onix/printk.h", "C++", 0, 0, 0, 0, 0, 4, 0, 2, 6
"/home/ysy/code/Os_wrtie/src/include/onix/rtc.h", "C++", 0, 0, 0, 0, 0, 6, 0, 2, 8
"/home/ysy/code/Os_wrtie/src/include/onix/stdarg.h", "C++", 0, 0, 0, 0, 0, 7, 0, 3, 10
"/home/ysy/code/Os_wrtie/src/include/onix/stdio.h", "C++", 0, 0, 0, 0, 0, 6, 0, 3, 9
"/home/ysy/code/Os_wrtie/src/include/onix/stdlib.h", "C++", 0, 0, 0, 0, 0, 16, 0, 9, 25
